ORIGIN,TRANSLATE,TYPE,MODULE
"
                        
                            Choose if a query to Algolia is done by the backend for SEO when instant search is enabled
                        
                    ","
                        
                            Choose if a query to Algolia is done by the backend for SEO when instant search is enabled
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            Configure here the additional auto-completion menu sections you want include in the dropdown menu (Ex. Suggestions, Pages, Manufacturer, Colors).<br /><br>
                            <span style=""font-size: 30px; color: #D83900; position: relative; top: 6px;"">&#9888;</span> All attributes used here must have been initially included in the <strong>Attributes Configuration</strong> panel and configured as a facet in the <strong>Instant Search Results Page Configuration</strong> panel to be able to refine on the specific attribute.
                        
                    ","
                        
                            Configure here the additional auto-completion menu sections you want include in the dropdown menu (Ex. Suggestions, Pages, Manufacturer, Colors).<br /><br>
                            <span style=""font-size: 30px; color: #D83900; position: relative; top: 6px;"">&#9888;</span> All attributes used here must have been initially included in the <strong>Attributes Configuration</strong> panel and configured as a facet in the <strong>Instant Search Results Page Configuration</strong> panel to be able to refine on the specific attribute.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            Configure here the attributes that reflect the popularity of your product (number of orders, number of likes, number of views, ...).<br />
                            <span style=""font-size: 30px; color: #D83900; position: relative; top: 6px;"">&#9888;</span> All attributes used here must have been initially included in the Attributes configuration panel.
                        
                    ","
                        
                            Configure here the attributes that reflect the popularity of your product (number of orders, number of likes, number of views, ...).<br />
                            <span style=""font-size: 30px; color: #D83900; position: relative; top: 6px;"">&#9888;</span> All attributes used here must have been initially included in the Attributes configuration panel.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            Configure here the different sorting options you want to offer.
                            <br /><br />
                            The extension will create :<br />
                            - 1 index/store<br />
                            - 1 index/store/sort<br /><br />
                            Which means that for an instance with:<br />
                            - 2 stores (2 languages for example)<br />
                            - 100 products<br />
                            - 2 sorts on price (asc, desc)<br />
                            - 2 sorts on date (asc, desc)<br /><br />
                            You have 100 * 2 + 100 * 4 * 2 = 1000 product records
                            You can reduce the number of records by removing some sort
                        
                    ","
                        
                            Configure here the different sorting options you want to offer.
                            <br /><br />
                            The extension will create :<br />
                            - 1 index/store<br />
                            - 1 index/store/sort<br /><br />
                            Which means that for an instance with:<br />
                            - 2 stores (2 languages for example)<br />
                            - 100 products<br />
                            - 2 sorts on price (asc, desc)<br />
                            - 2 sorts on date (asc, desc)<br /><br />
                            You have 100 * 2 + 100 * 4 * 2 = 1000 product records
                            You can reduce the number of records by removing some sort
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            Configure here the filtering options you want to display on your search results page.
                            Choose Disjunctive to allow the selection of different values of a facet (e.g. hotels with 4 OR 5 stars).
                            Choose Conjunctive to allow the selection of only one value of a facet (e.g. only ""Size M"").
                        
                    ","
                        
                            Configure here the filtering options you want to display on your search results page.
                            Choose Disjunctive to allow the selection of different values of a facet (e.g. hotels with 4 OR 5 stars).
                            Choose Conjunctive to allow the selection of only one value of a facet (e.g. only ""Size M"").
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            Configure here the pages you don't want to search in.<br><br>
                            <span style=""font-size: 30px; color: #D83900; position: relative; top: 6px;"">&#9888;</span> Do not forget to trigger the Algolia Search indexers whenever you modify those settings.
                        
                    ","
                        
                            Configure here the pages you don't want to search in.<br><br>
                            <span style=""font-size: 30px; color: #D83900; position: relative; top: 6px;"">&#9888;</span> Do not forget to trigger the Algolia Search indexers whenever you modify those settings.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            If configured, all indices created by the Algolia search extension will be prefixed by this value.
                        
                    ","
                        
                            If configured, all indices created by the Algolia search extension will be prefixed by this value.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            If enabled, all add/update operations will use <code>partialUpdateObjects</code> instead of <code>addObjects</code>. You should enable this option if you update some attributes of your records from an external source in addition to Magento to avoid any overriding.
                        
                    ","
                        
                            If enabled, all add/update operations will use <code>partialUpdateObjects</code> instead of <code>addObjects</code>. You should enable this option if you update some attributes of your records from an external source in addition to Magento to avoid any overriding.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            If enabled, all indexing operations (add, remove & update operations) will be done asynchronously using the CRON mechanism.<br />
                            <br>
                            To schedule the run you need to add this in your crontab:<br>
                            <code>*/5 * * * * php /absolute/path/to/magento/bin/magento indexer:reindex algolia_queue_runner</code>
                            <br><br>
                            <span style=""font-size: 30px; color: #D83900; position: relative; top: 6px;"">&#9888;</span> Enabling this option is recommended in production or if your store has a lot of products.
                        
                    ","
                        
                            If enabled, all indexing operations (add, remove & update operations) will be done asynchronously using the CRON mechanism.<br />
                            <br>
                            To schedule the run you need to add this in your crontab:<br>
                            <code>*/5 * * * * php /absolute/path/to/magento/bin/magento indexer:reindex algolia_queue_runner</code>
                            <br><br>
                            <span style=""font-size: 30px; color: #D83900; position: relative; top: 6px;"">&#9888;</span> Enabling this option is recommended in production or if your store has a lot of products.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            If enabled, the extension will take into account your customer groups and display the price of the logged-in group instead of the default price.<br />Enabling this option creates an index per customer group.
                        
                    ","
                        
                            If enabled, the extension will take into account your customer groups and display the price of the logged-in group instead of the default price.<br />Enabling this option creates an index per customer group.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            If set to No, Algolia extension will simply be disabled.
                        
                    ","
                        
                            If set to No, Algolia extension will simply be disabled.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            If set to No, search will be done by Algolia but renderered by Magento
                        
                    ","
                        
                            If set to No, search will be done by Algolia but renderered by Magento
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            If set to Yes, Algolia will display all categories in both the autocomplete menu and instant search page ignoring the setting: ""Include in navigation menu"". Default value: No
                        
                    ","
                        
                            If set to Yes, Algolia will display all categories in both the autocomplete menu and instant search page ignoring the setting: ""Include in navigation menu"". Default value: No
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            If set to Yes, the products inside the results pages will be searchable the refined results updated as-you-type. It requires your theme to expose a <code>top.search</code> and <code>content</code> block.
                            <br><br>
                            <span style=""font-size: 30px; color: #D83900; position: relative; top: 6px;"">&#9888;</span> Enabling instant search can potentially break your design, some work will be required to have a good integration into your theme
                            products.
                        
                    ","
                        
                            If set to Yes, the products inside the results pages will be searchable the refined results updated as-you-type. It requires your theme to expose a <code>top.search</code> and <code>content</code> block.
                            <br><br>
                            <span style=""font-size: 30px; color: #D83900; position: relative; top: 6px;"">&#9888;</span> Enabling instant search can potentially break your design, some work will be required to have a good integration into your theme
                            products.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            If set to Yes, the seach box will display a search-as-you-type drop-down menu. It requires your theme to expose a <code>top.search</code> and <code>content</code> block.
                        
                    ","
                        
                            If set to Yes, the seach box will display a search-as-you-type drop-down menu. It requires your theme to expose a <code>top.search</code> and <code>content</code> block.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            If you don't have the top.search block you can specify the selector of your search input here to use it. Default value is .algolia-search-input
                        
                    ","
                        
                            If you don't have the top.search block you can specify the selector of your search input here to use it. Default value is .algolia-search-input
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            If you have large amount of synonyms (appr. more than hundred), you don't have to fill it into inputs above and you can upload a JSON file with synonyms instead.
                            The documentation with the file structure can be found <a href=""https://www.algolia.com/doc/relevance/synonyms#synonyms"" target=""_blank"">here</a>.<br><br>
                            <span style=""font-size: 30px; color: #D83900; position: relative; top: 6px;"">&#9888;</span>
                            When you upload a JSON file, all the synonyms settings from above will be ignored and only synonyms from the JSON file will be pushed to Algolia.
                        
                    ","
                        
                            If you have large amount of synonyms (appr. more than hundred), you don't have to fill it into inputs above and you can upload a JSON file with synonyms instead.
                            The documentation with the file structure can be found <a href=""https://www.algolia.com/doc/relevance/synonyms#synonyms"" target=""_blank"">here</a>.<br><br>
                            <span style=""font-size: 30px; color: #D83900; position: relative; top: 6px;"">&#9888;</span>
                            When you upload a JSON file, all the synonyms settings from above will be ignored and only synonyms from the JSON file will be pushed to Algolia.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            NOTICE: Debug logging generates a significant amount of data and can affect performance of indexing
                        
                    ","
                        
                            NOTICE: Debug logging generates a significant amount of data and can affect performance of indexing
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            Number of jobs to run each time the cron is run. Default value is 10.
                            <br><br>
                            <span style=""font-size: 30px; color: #D83900; position: relative; top: 6px;"">&#9888;</span> Each time the cron runs it will process (""Max number of element per indexing job"" * ""Number of jobs to run each time the cron is run"")
                            products.
                        
                    ","
                        
                            Number of jobs to run each time the cron is run. Default value is 10.
                            <br><br>
                            <span style=""font-size: 30px; color: #D83900; position: relative; top: 6px;"">&#9888;</span> Each time the cron runs it will process (""Max number of element per indexing job"" * ""Number of jobs to run each time the cron is run"")
                            products.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            Synonyms are defined by a comma-separated list of words that should be considered equivalent by the Algolia engine.<br>
                            For instance: <code>tv, television, tv set</code><br>
                            Using that set, if a record contains “television” and a user searches for “TV”, this record will be returned.<br>
                            Documentation: <a href=""https://www.algolia.com/doc/synonyms#synonyms"" target=""_blank"">https://www.algolia.com/doc/synonyms#synonyms</a>
                        
                    ","
                        
                            Synonyms are defined by a comma-separated list of words that should be considered equivalent by the Algolia engine.<br>
                            For instance: <code>tv, television, tv set</code><br>
                            Using that set, if a record contains “television” and a user searches for “TV”, this record will be returned.<br>
                            Documentation: <a href=""https://www.algolia.com/doc/synonyms#synonyms"" target=""_blank"">https://www.algolia.com/doc/synonyms#synonyms</a>
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            The DOM selector used to inject the results using JavaScript.
                        
                    ","
                        
                            The DOM selector used to inject the results using JavaScript.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            The image used at the Search Results Page.
                        
                    ","
                        
                            The image used at the Search Results Page.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            The max number of element by indexing job. Default value is 100.
                        
                    ","
                        
                            The max number of element by indexing job. Default value is 100.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            The min number of results a query needs to return to be suggested. Default value is 2. <br /n>
                        
                    ","
                        
                            The min number of results a query needs to return to be suggested. Default value is 2. <br /n>
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            The min number of times a query has been performed in order to be suggested. Default value is 1000.
                        
                    ","
                        
                            The min number of times a query has been performed in order to be suggested. Default value is 1000.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            The number of categories (>=1) suggested in the autocomplete dropdown. Default value is 2
                        
                    ","
                        
                            The number of categories (>=1) suggested in the autocomplete dropdown. Default value is 2
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            The number of products (>=1) suggested in the autocomplete dropdown. Default value is 6
                        
                    ","
                        
                            The number of products (>=1) suggested in the autocomplete dropdown. Default value is 6
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            The number of products displayed on the instant search results page. Default value is 9.
                        
                    ","
                        
                            The number of products displayed on the instant search results page. Default value is 9.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            The number of queries suggestions (0 to disabled it) suggested in the autocomplete dropdown. Default value is 0
                        
                    ","
                        
                            The number of queries suggestions (0 to disabled it) suggested in the autocomplete dropdown. Default value is 0
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            The number of values each facet can display. Default value is 10.
                        
                    ","
                        
                            The number of values each facet can display. Default value is 10.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            This feature enables the extension to automatically update the product index when a product is added to or removed from a category via the ""Catalog > Categories"" menu.
                            By default the feature is turned on.
                        
                    ","
                        
                            This feature enables the extension to automatically update the product index when a product is added to or removed from a category via the ""Catalog > Categories"" menu.
                            By default the feature is turned on.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            You can specify the size of the images used at the Search Results Page.<br />
                            If your images are already present in some size, eg. 265x265, Algolia's index job may not have to resize those, potentially saving time and resources.
                        
                    ","
                        
                            You can specify the size of the images used at the Search Results Page.<br />
                            If your images are already present in some size, eg. 265x265, Algolia's index job may not have to resize those, potentially saving time and resources.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            Your administration API key (kept private)
                        
                    ","
                        
                            Your administration API key (kept private)
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            Your Application ID, which can be found in the Credentials section of your Algolia account.
                        
                    ","
                        
                            Your Application ID, which can be found in the Credentials section of your Algolia account.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                        Configure here the category attributes your users can search on. The order of these attributes matters: the higher in the list, the more important to rank the results.<br />
                        
                    ","
                        
                        Configure here the category attributes your users can search on. The order of these attributes matters: the higher in the list, the more important to rank the results.<br />
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                        One-way synonyms allow you to define alternative words for a search term, which are not synonyms to each others.<br>
                        Let’s take an example: when a user searches for “tablet”, you want him to be able to find iPads and Galaxy Note tablets alike, but you might not want Android tablets to show up when he searches for “iPad”.<br>
                        To do this, you’d define a one-way synonyms set between <code>tablet</code> (as input) and <code>ipad, galaxy note</code> (as synonyms). When the user types in “tablet”, records containing “iPad” and “Galaxy Note” will be returned. However records containing only “tablet” or “Galaxy Note” won’t be returned if he searches for “iPad”.<br>
                        Documentation: <a href=""https://www.algolia.com/doc/synonyms#one-way-synonyms"" target=""_blank"">https://www.algolia.com/doc/synonyms#one-way-synonyms</a>
                        <br>
                        <br>
                        Algolia offers more synonymys’ types - placeholders and alternative corrections. These types can be managed directly from your <a href=""https://www.algolia.com/dashboard"" target=""_blank"">Algolia’s dashboard</a>.
                        Any changes you will make to placeholders and alternative corrections in Algolia’s dashboard won’t be overridden.
                        
                    ","
                        
                        One-way synonyms allow you to define alternative words for a search term, which are not synonyms to each others.<br>
                        Let’s take an example: when a user searches for “tablet”, you want him to be able to find iPads and Galaxy Note tablets alike, but you might not want Android tablets to show up when he searches for “iPad”.<br>
                        To do this, you’d define a one-way synonyms set between <code>tablet</code> (as input) and <code>ipad, galaxy note</code> (as synonyms). When the user types in “tablet”, records containing “iPad” and “Galaxy Note” will be returned. However records containing only “tablet” or “Galaxy Note” won’t be returned if he searches for “iPad”.<br>
                        Documentation: <a href=""https://www.algolia.com/doc/synonyms#one-way-synonyms"" target=""_blank"">https://www.algolia.com/doc/synonyms#one-way-synonyms</a>
                        <br>
                        <br>
                        Algolia offers more synonymys’ types - placeholders and alternative corrections. These types can be managed directly from your <a href=""https://www.algolia.com/dashboard"" target=""_blank"">Algolia’s dashboard</a>.
                        Any changes you will make to placeholders and alternative corrections in Algolia’s dashboard won’t be overridden.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        Optional property to avoid empty result pages.<br/>
                             By default, Algolia performs ""AND"" queries, which can lead to no results pages when queries are too long or too detailed. To avoid this, you can select among the following options:<br/>
                             <b>LastWords</b>: when a query does not return any result, the last word will be considered as optional and the query will be automatically performed again (the process is repeated with the n-1 word, n-2 word, ... until there is results).<br/>
                             <b>FirstWords</b>: when a query does not return any result, the first word will be considered as optional and the query will be automatically performed again (the process is repeated with the second word, third word, ... until there is results).<br/>
                             <b>allOptional</b>: when a query does not return any result, all words will be optional.<br/>
                             None: No specific processing is done when a query does not return any result. <br/>
                    ","
                        Optional property to avoid empty result pages.<br/>
                             By default, Algolia performs ""AND"" queries, which can lead to no results pages when queries are too long or too detailed. To avoid this, you can select among the following options:<br/>
                             <b>LastWords</b>: when a query does not return any result, the last word will be considered as optional and the query will be automatically performed again (the process is repeated with the n-1 word, n-2 word, ... until there is results).<br/>
                             <b>FirstWords</b>: when a query does not return any result, the first word will be considered as optional and the query will be automatically performed again (the process is repeated with the second word, third word, ... until there is results).<br/>
                             <b>allOptional</b>: when a query does not return any result, all words will be optional.<br/>
                             None: No specific processing is done when a query does not return any result. <br/>
                    ",module,Algolia_AlgoliaSearch
"
            Processes the indexing queue if enabled. This allows to run jobs in the indexing queues.
        ","
            Processes the indexing queue if enabled. This allows to run jobs in the indexing queues.
        ",module,Algolia_AlgoliaSearch
"
            Rebuild additional sections index.
        ","
            Rebuild additional sections index.
        ",module,Algolia_AlgoliaSearch
"
            Rebuild categories index.
        ","
            Rebuild categories index.
        ",module,Algolia_AlgoliaSearch
"
            Rebuild pages index.
        ","
            Rebuild pages index.
        ",module,Algolia_AlgoliaSearch
"
            Rebuild products index.
        ","
            Rebuild products index.
        ",module,Algolia_AlgoliaSearch
"
            Rebuild suggestion index.
        ","
            Rebuild suggestion index.
        ",module,Algolia_AlgoliaSearch
Add to Cart,Agregar,module,Algolia_AlgoliaSearch
Additional Sections,Secciones Adicionales,module,Algolia_AlgoliaSearch
Admin API key,Clave de API de administración,module,Algolia_AlgoliaSearch
Advanced,Avanzado,module,Algolia_AlgoliaSearch
Algolia Search Categories,Algolia Buscar Categorías,module,Algolia_AlgoliaSearch
Algolia Search Pages,Algolia Búsqueda de Páginas,module,Algolia_AlgoliaSearch
Algolia Search Products,Algolia Buscar Productos,module,Algolia_AlgoliaSearch
Algolia Search Queue Runner,Algolia Busque el corredor de la cola,module,Algolia_AlgoliaSearch
Algolia Search Suggestions,Algolia Sugerencias de búsqueda,module,Algolia_AlgoliaSearch
All departments,Todos los departamentos,module,Algolia_AlgoliaSearch
AllOptional,TodoOpcional,module,Algolia_AlgoliaSearch
Application ID,ID de aplicación,module,Algolia_AlgoliaSearch
Attributes,Atributos,module,Algolia_AlgoliaSearch
Autocomplete,Autocompletar,module,Algolia_AlgoliaSearch
Base Image,Imagen base,module,Algolia_AlgoliaSearch
Categories,Categorías,module,Algolia_AlgoliaSearch
Clear all,Limpiar,module,Algolia_AlgoliaSearch
Credentials and Setup,Credenciales y configuración,module,Algolia_AlgoliaSearch
Current search,Búsqueda actual,module,Algolia_AlgoliaSearch
Customer Groups,Grupos de Clientes,module,Algolia_AlgoliaSearch
DOM Selector,Selector DOM,module,Algolia_AlgoliaSearch
Enable Auto-completion Menu,Habilitar el menú Autocompletar,module,Algolia_AlgoliaSearch
Enable Indexing,Habilitar la indexación,module,Algolia_AlgoliaSearch
Enable Instant Search Results Page,Habilitar página de resultados de búsqueda instantánea,module,Algolia_AlgoliaSearch
Enable Logging,Habilitar el registro,module,Algolia_AlgoliaSearch
Enable Search,Habilitar búsqueda,module,Algolia_AlgoliaSearch
Excluded Pages,Páginas Excluidas,module,Algolia_AlgoliaSearch
Facets,Facetas,module,Algolia_AlgoliaSearch
FirstWords,Primeras palabras,module,Algolia_AlgoliaSearch
Go,Ir,module,Algolia_AlgoliaSearch
Height,Altura,module,Algolia_AlgoliaSearch
Images,Imágenes,module,Algolia_AlgoliaSearch
in,en,module,Algolia_AlgoliaSearch
Index Name Prefix,Prefijo de nombre de índice,module,Algolia_AlgoliaSearch
Index out of stock options for configurable products,Índice de opciones de stock para productos configurables,module,Algolia_AlgoliaSearch
Indexing Queue / Cron,Cola de indexación / Cron,module,Algolia_AlgoliaSearch
Instant Search Results Page,Página de resultados de búsqueda inmediata,module,Algolia_AlgoliaSearch
label,etiqueta,module,Algolia_AlgoliaSearch
LastWords,Ultimas palabras,module,Algolia_AlgoliaSearch
Make SEO request,Hacer una solicitud de SEO,module,Algolia_AlgoliaSearch
Max number of element per indexing job,Número máximo de elementos por trabajo de indización,module,Algolia_AlgoliaSearch
Min number of products per query,Número mínimo de productos por consulta,module,Algolia_AlgoliaSearch
Min query popularity,Mínima búsqueda de popularidad,module,Algolia_AlgoliaSearch
Next page,Siguiente página,module,Algolia_AlgoliaSearch
No products for query,No hay productos para la consulta,module,Algolia_AlgoliaSearch
No results,No hay resultados,module,Algolia_AlgoliaSearch
None,Ninguna,module,Algolia_AlgoliaSearch
Number of categories,Número de categorías,module,Algolia_AlgoliaSearch
Number of jobs to run each time the cron is run,Número de trabajos que se ejecutarán cada vez que se ejecute el cron,module,Algolia_AlgoliaSearch
Number of products,Número de productos,module,Algolia_AlgoliaSearch
Number of products per page in the instant result page,Número de productos por página en la página de resultados instantánea,module,Algolia_AlgoliaSearch
Number of queries,Número de consultas,module,Algolia_AlgoliaSearch
Number of values per facet,Número de valores por faceta,module,Algolia_AlgoliaSearch
or,o,module,Algolia_AlgoliaSearch
or in,o en,module,Algolia_AlgoliaSearch
Partial Updates,Actualizaciones parciales,module,Algolia_AlgoliaSearch
Previous page,Pagina anterior,module,Algolia_AlgoliaSearch
Products,Productos,module,Algolia_AlgoliaSearch
Queue Enabled,Cola activada,module,Algolia_AlgoliaSearch
Ranking,Clasificación,module,Algolia_AlgoliaSearch
Refine,Refinar,module,Algolia_AlgoliaSearch
Relevance,Pertinencia,module,Algolia_AlgoliaSearch
Remove branding logo,Eliminar el logo de la marca,module,Algolia_AlgoliaSearch
Remove Words If No Result,Eliminar palabras si no hay resultado,module,Algolia_AlgoliaSearch
Render template directives,Directivas de plantillas de render,module,Algolia_AlgoliaSearch
Replace categories page,Página Reemplazar categorías,module,Algolia_AlgoliaSearch
result,resultado,module,Algolia_AlgoliaSearch
results found,resultados encontrados,module,Algolia_AlgoliaSearch
Search,Buscar,module,Algolia_AlgoliaSearch
Search by,Búsqueda por,module,Algolia_AlgoliaSearch
Search for products,Búsqueda de productos,module,Algolia_AlgoliaSearch
Search input DOM Selector,Entrada de búsqueda DOM Selector,module,Algolia_AlgoliaSearch
Search-only (public) API key,Clave de API de solo búsqueda (pública),module,Algolia_AlgoliaSearch
Search:,Buscar:,module,Algolia_AlgoliaSearch
seconds,segundos,module,Algolia_AlgoliaSearch
See all products,Ver todos los productos,module,Algolia_AlgoliaSearch
See products in,Ver productos en,module,Algolia_AlgoliaSearch
Selected Filters,Filtros,module,Algolia_AlgoliaSearch
Show categories that are not included in the navigation menu,Mostrar categorías que no se incluyen en el menú de navegación,module,Algolia_AlgoliaSearch
Show most popular queries suggestions when there are no results,Mostrar sugerencias más populares cuando no hay resultados,module,Algolia_AlgoliaSearch
Small Image,Pequeña imagen,module,Algolia_AlgoliaSearch
SORT BY,ORDENAR POR,module,Algolia_AlgoliaSearch
Sorts,Ordena,module,Algolia_AlgoliaSearch
Synonyms,Sinónimos,module,Algolia_AlgoliaSearch
Synonyms File,Sinónimos,module,Algolia_AlgoliaSearch
Thumbnail,Miniatura,module,Algolia_AlgoliaSearch
to,a,module,Algolia_AlgoliaSearch
Type,Tipo,module,Algolia_AlgoliaSearch
Update product on category products update,Actualizar producto en la categoría de actualización de productos,module,Algolia_AlgoliaSearch
Width,Anchura,module,Algolia_AlgoliaSearch
You can try one of the popular search queries,Puedes probar una de las consultas de búsqueda más populares,module,Algolia_AlgoliaSearch
 by ,  por,module,Amasty_Base 
<b>Allowed errors limit is reached.</b>,<b> Se ha alcanzado el límite de errores permitidos. </b>,module,Amasty_Base 
10 days,10 días,module,Amasty_Base 
15 days,15 días,module,Amasty_Base 
2 days,2 días,module,Amasty_Base 
30 days,30 dias,module,Amasty_Base 
5 days,5 dias,module,Amasty_Base 
All Notifications,Todas las notificaciones,module,Amasty_Base 
All Store Views,Todas las vistas de la tienda,module,Amasty_Base 
Amasty,Amasty,module,Amasty_Base 
Amasty Extensions,Extensiones Amasty,module,Amasty_Base 
Amasty Marketplace,Amasty Marketplace,module,Amasty_Base 
An error occurred while changing the frequency.,Se produjo un error al cambiar la frecuencia.,module,Amasty_Base 
Available Updates,Actualizaciones Disponibles,module,Amasty_Base 
Configuration,Configuración,module,Amasty_Base 
Cron (Last 5),Cron (últimos 5),module,Amasty_Base 
